id,period,name,value,end_time,title,description
217328504988428/insights/page_total_actions/day,day,page_total_actions,0,2021-01-01T08:00:00+0000,Daily Total: total action count per Page,Daily: The number of clicks on your Page's contact info and call-to-action button.
217328504988428/insights/page_total_actions/day,day,page_total_actions,1,2021-01-02T08:00:00+0000,Daily Total: total action count per Page,Daily: The number of clicks on your Page's contact info and call-to-action button.
217328504988428/insights/page_views_total/day,day,page_views_total,150,2021-01-01T08:00:00+0000,Daily Total views count per Page,Daily: Total views count per Page
217328504988428/insights/page_views_total/day,day,page_views_total,154,2021-01-02T08:00:00+0000,Daily Total views count per Page,Daily: Total views count per Page
217328504988428/insights/page_preview_total/day,day,page_preview_total,0,2021-01-01T08:00:00+0000,Daily total number of Page Previews,Daily total number of Previews seen on the Page.
217328504988428/insights/page_preview_total/day,day,page_preview_total,0,2021-01-02T08:00:00+0000,Daily total number of Page Previews,Daily total number of Previews seen on the Page.
217328504988428/insights/page_fan_adds_unique/day,day,page_fan_adds_unique,70,2021-01-01T08:00:00+0000,Daily New Likes,Daily: The number of new people who have liked your Page (Unique Users)
217328504988428/insights/page_fan_adds_unique/day,day,page_fan_adds_unique,47,2021-01-02T08:00:00+0000,Daily New Likes,Daily: The number of new people who have liked your Page (Unique Users)
217328504988428/insights/page_impressions_unique/day,day,page_impressions_unique,15674,2021-01-01T08:00:00+0000,Daily Total Reach,"Daily: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users)"
217328504988428/insights/page_impressions_unique/day,day,page_impressions_unique,17228,2021-01-02T08:00:00+0000,Daily Total Reach,"Daily: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users)"
217328504988428/insights/page_post_engagements/day,day,page_post_engagements,1607,2021-01-01T08:00:00+0000,Daily Post Engagements,"Daily: The number of times people have engaged with your posts through like, comments and shares and more."
217328504988428/insights/page_post_engagements/day,day,page_post_engagements,1737,2021-01-02T08:00:00+0000,Daily Post Engagements,"Daily: The number of times people have engaged with your posts through like, comments and shares and more."
217328504988428/insights/page_video_views/day,day,page_video_views,316,2021-01-01T08:00:00+0000,Daily Total Video Views,Daily: Total number of times videos have been viewed for more than 3 seconds. (Total Count)
217328504988428/insights/page_video_views/day,day,page_video_views,691,2021-01-02T08:00:00+0000,Daily Total Video Views,Daily: Total number of times videos have been viewed for more than 3 seconds. (Total Count)
217328504988428/insights/page_daily_follows_unique/day,day,page_daily_follows_unique,73,2021-01-01T08:00:00+0000,Daily New Follows,Daily: The number of new people who have followed your Page (Unique Users)
217328504988428/insights/page_daily_follows_unique/day,day,page_daily_follows_unique,47,2021-01-02T08:00:00+0000,Daily New Follows,Daily: The number of new people who have followed your Page (Unique Users)
217328504988428/insights/page_total_actions/week,week,page_total_actions,4,2021-01-01T08:00:00+0000,Weekly Total: total action count per Page,Weekly: The number of clicks on your Page's contact info and call-to-action button.
217328504988428/insights/page_total_actions/week,week,page_total_actions,3,2021-01-02T08:00:00+0000,Weekly Total: total action count per Page,Weekly: The number of clicks on your Page's contact info and call-to-action button.
217328504988428/insights/page_views_total/week,week,page_views_total,788,2021-01-01T08:00:00+0000,Weekly Total views count per Page,Weekly: Total views count per Page
